,category
0,нет товара
1,одежда
2,текстиль
3,текстиль
4,одежда
5,одежда
6,одежда
7,одежда
8,одежда
9,нет товара
10,нет товара
11,одежда
12,нет товара
13,текстиль
14,текстиль
15,одежда
16,одежда
17,одежда
18,текстиль
19,одежда
20,нет товара
21,одежда
22,одежда
23,нет товара
24,одежда
25,одежда
26,текстиль
27,нет товара
28,одежда
29,текстиль
30,нет товара
31,одежда
32,текстиль
33,одежда
34,одежда
35,нет товара
36,нет товара
37,нет товара
38,одежда
39,нет товара
40,текстиль
41,нет товара
42,нет товара
43,одежда
44,текстиль
45,текстиль
46,одежда
47,текстиль
48,нет товара
49,одежда
50,нет товара
51,одежда
52,нет товара
53,одежда
54,нет товара
55,нет товара
56,одежда
57,одежда
58,нет товара
59,нет товара
60,текстиль
61,одежда
62,одежда
63,одежда
64,нет товара
65,нет товара
66,нет товара
67,нет товара
68,текстиль
69,одежда
70,нет товара
71,одежда
72,нет товара
73,нет товара
74,нет товара
75,одежда
76,нет товара
77,нет товара
78,текстиль
79,одежда
80,одежда
81,нет товара
82,одежда
83,нет товара
84,текстиль
85,текстиль
86,товары для детей
87,одежда
88,одежда
89,одежда
90,одежда
91,одежда
92,нет товара
93,одежда
94,одежда
95,одежда
96,одежда
97,текстиль
98,одежда
99,нет товара
100,нет товара
101,одежда
102,одежда
103,нет товара
104,нет товара
105,текстиль
106,нет товара
107,одежда
108,нет товара
109,одежда
110,одежда
111,одежда
112,одежда
113,одежда
114,одежда
115,нет товара
116,электроника
117,одежда
118,текстиль
119,нет товара
120,текстиль
121,одежда
122,нет товара
123,одежда
124,нет товара
125,нет товара
126,одежда
127,одежда
128,нет товара
129,одежда
130,одежда
131,одежда
132,одежда
133,одежда
134,нет товара
135,текстиль
136,нет товара
137,одежда
138,нет товара
139,нет товара
140,нет товара
141,одежда
142,нет товара
143,нет товара
144,нет товара
145,одежда
146,одежда
147,текстиль
148,товары для детей
149,одежда
150,нет товара
151,одежда
152,нет товара
153,одежда
154,нет товара
155,одежда
156,одежда
157,текстиль
158,одежда
159,текстиль
160,одежда
161,нет товара
162,нет товара
163,одежда
164,нет товара
165,одежда
166,нет товара
167,одежда
168,нет товара
169,текстиль
170,нет товара
